code,genus,species
ACERUB,Acer,rubrum
ACHMIL,Achillea,millefolium
ADDLEU,,
ADELEW,Adenolinum,lewisii
ARTTRI,Artemisia,tridentata
CHRVIS,Chrysothamnus,viscidiflorus
DELBAR,Delphinium,barbeyi
DELNUT,Delphinium,nuttallianum
ELYSPP,Elymus,spp
ERIFLA,Erigeron,flagellaris
ERIUMB,Eriogonum,umbellatum
ERYGRA,Erythronium,grandiflorum
FESTHU,Festuca,thurberi
GERVIS,Geranium,viscosissimum
GEUTRI,Geum,triflorum
HELQUI,Helianthella,quinquenervis
HERSPH,Heracleum,sphondylium
IRIMIS,Iris,missouriensis
LATLEU,Lathyrus,leucanthus
MERCIL,Mertensia,ciliata
POA1A,Poa,spp
POTGRA,Potentilla,gracilis
ROSWOO,Rosa,woodsii
SENCRA,Senecio,crassulus
TAROFF,Taraxacum,officinale
THAFEN,Thalictrum,fendleri
VERCAL,Veratrum,californicum
VALSPP,Valeriana,spp
WYEAMP,Wyethia,amplexicaulis
bare,bareground,bareground
