site,treatment,plot,code,individual,type,weight
almont,control,1,achmil,1,p,0.022
almont,control,1,achmil,3,t,0.112
almont,control,3,achmil,2,t,0.096
almont,control,5,achmil,4,t,0.063
almont,control,3,adelew,2,t,0.384
almont,control,5,adelew,1,t,0.507
almont,control,2,arttri,1,t,0.172
almont,control,3,arttri,2,t,0.175
almont,control,4,arttri,4,t,0.131
almont,control,2,chrvis,2,t,0.189
almont,control,4,chrvis,1,t,0.099
gothiccamp,control,1,delphinium,1,ms,0.224
gothiccamp,control,1,delphinium,1,p,0.027
gothiccamp,control,2,delphinium,2,ms,0.094
gothiccamp,control,2,delphinium,2,p,0.018
gothiccamp,control,3,delphinium,3,ms,0.166
gothiccamp,control,3,delphinium,3,p,0.032
gothiccamp,control,4,delphinium,4,ms,0.126
gothiccamp,control,4,delphinium,4,p,0.02
gothiccamp,control,5,delphinium,5,ms,0.187
gothiccamp,control,5,delphinium,5,p,0.034
gothiccamp,control,1,elymus,1,t,0.183
gothiccamp,control,2,elymus,2,t,0.241
gothiccamp,control,4,elymus,4,t,0.298
gothiccamp,control,5,elymus,5,t,0.332
almont,control,4,eriumb,1,t,0.07
almont,control,2,gervis,1,ms,0.081
almont,control,2,gervis,1,p,0.058
almont,control,3,gervis,2,ms,0.162
almont,control,3,gervis,2,p,0.029
almont,control,3,gervis,4,ms,0.129
almont,control,3,gervis,4,p,0.023
almont,control,4,gervis,3,ms,0.162
almont,control,4,gervis,3,p,0.033
almont,outside,0,gervis,1,t,0.126
almont,outside,0,gervis,2,t,0.105
almont,outside,0,gervis,3,t,0.094
almont,outside,0,gervis,4,t,0.114
almont,outside,0,gervis,5,t,0.135
almont,control,1,geutri,1,ms,0.054
almont,control,1,geutri,1,p,0.036
almont,control,4,irimis,1,ms,0.225
almont,control,2,latleu,2,t,0.014
almont,control,4,latleu,1,t,0.041
almont,control,5,latleu,3,t,0.071
gothiccamp,control,1,maple,1,ms,0.117
gothiccamp,control,1,maple,1,p,0.167
gothiccamp,control,2,maple,2,ms,0.165
gothiccamp,control,2,maple,2,p,0.368
gothiccamp,control,3,maple,3,ms,0.242
gothiccamp,control,3,maple,3,p,0.311
gothiccamp,control,4,maple,4,ms,0.104
gothiccamp,control,4,maple,4,p,0.148
gothiccamp,control,5,maple,5,ms,0.13
gothiccamp,control,5,maple,5,p,0.15
gothiccamp,control,1,mercil,1,t,0.06
gothiccamp,control,3,mercil,2,t,0.07
almont,control,1,poa,2,t,0.445
almont,control,2,poa,3,t,0.756
almont,control,3,poa,1,t,0.312
almont,control,5,poa,4,t,0.266
almont,outside,0,poa,1,t,0.684
almont,outside,0,poa,2,t,0.9
almont,outside,0,poa,3,t,1.356
almont,outside,0,poa,4,t,0.699
almont,outside,0,poa,5,t,0.926
almont,control,5,roswoo,1,t,0.11
gothiccamp,control,1,taroff,1,t,0.066
gothiccamp,control,3,taroff,3,t,0.15
gothiccamp,control,4,taroff,4,t,0.182
gothiccamp,control,1,thafen,1,t,0.06
gothiccamp,control,2,thafen,2,t,0.098
gothiccamp,control,4,thafen,4,t,0.079
gothiccamp,control,5,thafen,5,t,0.092
gothiccamp,control,1,valeriana,1,t,0.14
gothiccamp,control,3,valeriana,3,t,0.076
gothiccamp,control,1,veratrum,1,ms,0.444
gothiccamp,control,1,veratrum,1,p,0.543
gothiccamp,control,2,veratrum,2,ms,0.375
gothiccamp,control,2,veratrum,2,p,0.591
gothiccamp,control,3,veratrum,3,ms,0.831
gothiccamp,control,3,veratrum,3,p,0.647
gothiccamp,control,4,veratrum,4,ms,0.429
gothiccamp,control,4,veratrum,4,p,0.285
gothiccamp,control,5,veratrum,5,ms,0.33
gothiccamp,control,5,veratrum,5,p,0.572
almont,control,1,wyeamp,1,ms,1.205
almont,control,1,wyeamp,1,p,1.033
almont,control,1,wyeamp,2,ms,1.017
almont,control,1,wyeamp,2,p,0.576
almont,control,2,wyeamp,3,ms,1.003
almont,control,2,wyeamp,3,p,0.777
almont,control,2,wyeamp,4,p,0.783
almont,control,2,wyeamp,5,p,1.495
almont,control,5,wyeamp,4,ms,1.282
almont,outside,0,wyeamp,1,t,1.401
almont,outside,0,wyeamp,2,t,0.803
almont,outside,0,wyeamp,3,t,0.542
almont,outside,0,wyeamp,4,t,0.635
almont,outside,0,wyeamp,5,t,1.303
almont,warming,4,wyeamp,1,ms,1.239
almont,warming,4,wyeamp,1,p,1.128
almont,warming,16,wyeamp,2,ms,1.614
almont,warming,16,wyeamp,2,p,1.936
almont,warming,20,wyeamp,3,ms,0.943
almont,warming,20,wyeamp,3,p,0.64
almont,warming,24,wyeamp,4,ms,0.737
almont,warming,24,wyeamp,4,p,0.839
almont,warming,28,wyeamp,5,ms,1.672
almont,warming,28,wyeamp,5,p,1.25
