file,remark_time,sample,starting_obs,ending_obs
2021-06-14-1405_logdata_almont.xlsx,14:20:21,wyeamp_1,1,10
2021-06-14-1405_logdata_almont.xlsx,14:35:11,wyeamp_2,11,19
2021-06-14-1405_logdata_almont.xlsx,14:54:59,achmil_1,20,22
2021-06-14-1405_logdata_almont.xlsx,14:59:36,geutri_1,23,31
2021-06-14-1405_logdata_almont.xlsx,15:09:00,wyeamp_3,32,40
2021-06-14-1405_logdata_almont.xlsx,15:19:21,wyeamp_4,41,50
2021-06-15-0950_logdata_almont.xlsx,09:56:00,wyeamp5,1,9
2021-06-15-0950_logdata_almont.xlsx,10:16:05,gervis_1,10,18
2021-06-15-0950_logdata_almont.xlsx,10:51:59,gervis_2,19,27
2021-06-15-0950_logdata_almont.xlsx,10:58:17,gervis_4,28,36
2021-06-15-0950_logdata_almont.xlsx,11:43:51,gervis_3,37,45
2021-06-15-0950_logdata_almont.xlsx,12:02:11,wyeamp_1 _warm,46,55
2021-06-15-0950_logdata_almont.xlsx,12:13:10,wyeamp_2_warm,56,64
2021-06-15-0950_logdata_almont.xlsx,12:22:00,wyeamp_3_warm,65,73
2021-06-15-0950_logdata_almont.xlsx,12:29:44,wyeamp_4_warm,74,83
2021-06-15-0950_logdata_almont.xlsx,12:44:15,wyeamp_5_warm,84,93
2021-06-16-0948_logdata_gothiccamp.xlsx,09:49:01,veratrum1,1,9
2021-06-16-0948_logdata_gothiccamp.xlsx,10:06:37,delphinium1,10,18
2021-06-16-0948_logdata_gothiccamp.xlsx,10:13:24,maple1,19,28
2021-06-16-0948_logdata_gothiccamp.xlsx,10:19:48,veratrum2,29,37
2021-06-16-0948_logdata_gothiccamp.xlsx,10:32:35,delphinium2,38,40
2021-06-16-0948_logdata_gothiccamp.xlsx,10:42:24,maple2,41,49
2021-06-16-0948_logdata_gothiccamp.xlsx,10:52:32,veratrum3,50,58
2021-06-16-0948_logdata_gothiccamp.xlsx,10:57:54,delphinium3,59,67
2021-06-16-0948_logdata_gothiccamp.xlsx,11:05:20,maple3,68,77
2021-06-16-0948_logdata_gothiccamp.xlsx,11:10:22,veratrum4,78,86
2021-06-16-0948_logdata_gothiccamp.xlsx,11:22:26,delphinium4,87,88
2021-06-16-0948_logdata_gothiccamp.xlsx,11:22:49,maple4,89,98
2021-06-16-0948_logdata_gothiccamp.xlsx,11:29:29,veratrum5,99,108
2021-06-16-0948_logdata_gothiccamp.xlsx,11:37:16,delphinium5,109,117
2021-06-16-0948_logdata_gothiccamp.xlsx,11:41:45,maple5,118,126
