 ,Area,Mean,Min,Max
1,16.691,255,255,255
2,21.847,255,255,255
3,16.504,255,255,255
4,19.635,255,255,255
5,11.886,255,255,255
6,20.44,255,255,255
7,16.13,255,255,255
8,24.684,255,255,255
9,6.88,255,255,255
10,24.763,255,255,255
11,19.757,255,255,255
12,14.141,255,255,255
13,12.302,255,255,255
14,29.237,255,255,255
15,17.617,255,255,255
16,7.203,255,255,255
17,3.469,255,255,255
18,10.737,255,255,255
19,5.566,255,255,255
20,8.582,255,255,255
21,13.516,255,255,255
22,12.367,255,255,255
23,13.725,255,255,255
24,24.153,255,255,255
25,19.233,255,255,255
26,9.48,255,255,255
27,16.31,255,255,255
28,4.812,255,255,255
29,10.959,255,255,255
30,6.528,255,255,255
31,21.474,255,255,255
32,13.926,255,255,255
33,7.268,255,255,255
34,7.778,255,255,255
35,15.348,255,255,255
total,504.948,,,
,5.04948,,,
