 ,Area,Mean,Min,Max
1,3.045,255,255,255
2,1.07,255,255,255
3,1.867,255,255,255
4,3.67,255,255,255
5,10.615,255,255,255
6,6.851,255,255,255
7,10.543,255,255,255
8,5.738,255,255,255
9,1.58,255,255,255
10,1.149,255,255,255
11,1.803,255,255,255
12,2.09,255,255,255
13,10.974,255,255,255
14,3.397,255,255,255
15,3.979,255,255,255
16,6.729,255,255,255
17,7.246,255,255,255
18,11.584,255,255,255
19,3.131,255,255,255
20,1.537,255,255,255
21,3.469,255,255,255
22,5.034,255,255,255
23,1.142,255,255,255
24,1.716,255,255,255
25,1.702,255,255,255
26,3.153,255,255,255
27,1.163,255,255,255
28,2.392,255,255,255
29,4.431,255,255,255
30,7.412,255,255,255
31,6.6,255,255,255
32,1.874,255,255,255
33,3.9,255,255,255
34,11.024,255,255,255
35,9.351,255,255,255
36,5.264,255,255,255
37,1.724,255,255,255
38,3.914,255,255,255
39,11.584,255,255,255
40,3.648,255,255,255
41,6.93,255,255,255
42,8.97,255,255,255
43,1.451,255,255,255
44,1.156,255,255,255
45,1.408,255,255,255
46,3.598,255,255,255
47,4.604,255,255,255
48,2.614,255,255,255
49,6.966,255,255,255
50,2.377,255,255,255
51,5.358,255,255,255
52,5.918,255,255,255
53,3.713,255,255,255
54,1.049,255,255,255
55,4.51,255,255,255
56,9.013,255,255,255
57,1.659,255,255,255
total,260.389,,,
,2.60389,,,
