"","obs","time..2","elapsed","date","hhmmss..5","averaging","id","machine","TIME..9","E","Emm","A","Ca","Ci","Pci","Pca","gsw","gbw","gtw","gtc","Rabs","TleafEB","TleafCnd","SVPleaf","RHcham","VPcham","SVPcham","VPDleaf","LatHFlux","SenHFlux","NetTherm","EBSum","Asty","Esty","Adyn","Crd","Csd","dCsd/dt","αVc","Edyn","Hr","Hs","dHs/dt","αVh","Leak","LeakPct","CorrFact","CorrFactPct","Fan","Qin","Qabs","alpha","convert","S","K","Geometry","Custom","UseDynamic","TIME..59","CO2_s","CO2_r","H2O_s","H2O_r","CO2_a","H2O_a","Flow","Pa","ΔPcham","Tair","Tleaf","Tleaf2","Offset","Offset2","Fan_speed","Qamb_in","Qamb_out","ΔCO2","CO2_s_d","CO2_r_d","ΔH2O","CO2_b","H2O_b","e_s","e_r","Td_s","Td_r","Q","f_red","f_blue","f_farred","F","Q_modavg","F_dc","Pc","Tled","TDigital","TPreamp","TPwrSpy","TDrive","Q_red","Q_blue","Q_farred","TSPF","state","time..105","hhmmss..106","co2_t","h2o_t","count","co2_adj","h2o_adj","co2_match","h2o_match","co2_at","h2o_at","co2_cv","h2o_cv","ΔCO2:MN","ΔCO2:SLP","ΔCO2:SD","ΔCO2:OK","ΔH2O:MN","ΔH2O:SLP","ΔH2O:SD","ΔH2O:OK","Stable","Total","State","Vflow","VPchamber","abs_c_a","abs_c_b","abs_h_a","abs_h_b","Wc_s","Wc_r","Wco_s","Wco_r","Ww_s","Ww_r","Wwo_s","Wwo_r","Flow_s_v","Flow_r_v","Tleaf_mv","Tleaf2_mv","Tleaf_j","Tleaf2_j","Console_RH","Console_T","Console_H2O","Fan_%","Flow_%","Pump","Tchp_pwm","Txchg_pwm","diag_20v","diag_5_4v","diag_12v","diag_5va","diag_3_3vf","AccH2O_hum","AccCO2_soda","AccH2O_des","CO2_hrs","ADC_CH1","ADC_CH2","ADC_CH3","ADC_CH4","ADC_CH5","ADC_CH6","ADC_CH7","ADC_CH8","DAC_1","DAC_2","DAC_3","DAC_4","GPIO","GPIO_dir","excit_5v","power_12v","power_5v","ch1_pullup","AuxPower","MatchValveR","MatchValveS","MatchCO2","MatchH2O","cf_co2_a","cf_co2_b","cf_co2_c","cf_co2_d","cf_h2o_a","cf_h2o_b","cf_h2o_c","cf_h2o_d","co2_fit_low","co2_fit_high","h2o_fit_low","h2o_fit_high","co2_elapsed","h2o_elapsed","CO2_f","CO2_f_s","Pump_f","Pump_f_s","Pump_p","Pump_p_s","Tboard","V_system","DIAG","Flow_s","Flow_r","Txchg","Tirga","Tchopper","Ts","Tr","CO2_%","Desiccant_%","Humidifier_%","Txchg_sp","CO2_r_sp","H2O_r_sp","SS_s","SS_r","site"
"1",1,1657479253,0,2022-07-10 13:54:13,13:54:13,5,"potfru_r1","ozzie",1657479250.25,0.00101391790240272,1.01391790240273,5.00316689149093,416.901296553778,165.210407397194,12.1183171650158,30.5800476963825,0.0338528091123274,3.1583370020374,0.0336525117334993,0.0210507168064862,321.5156964,28.5450635395202,28.5450635395202,3.9171064677172,50.0305827583588,1.7931390301941,3.58408583576716,2.1239674375231,-44.7137794959602,-259.093691165663,-17.8433993377477,-0.135173599370546,5.14483463703705,0.950894816999757,5.00316689149093,430.241711866615,427.393115151515,0.0213174641039747,64.5051833422349,1.01391790240273,23.9416605145341,24.4682945454545,0.00163741040003771,77.4787496490575,0,0,1,0,39116,2000.001,1681.2006,0.84059987970006,0.160757767821116,2.7,0.5,"0: Broadleaf",2,TRUE,1657479250.25,416.9013,419.8934,24.44607,23.94517,409.56,24.09273,500.0305,73.30404,0.04676977,27.02342,27.89182,999.9,0,0,10021,0,435.2322,-2.992298,427.348,430.1946,0.5008872,419.8934,23.94517,1.791996,1.75528,15.71714,15.39413,2000.001,0.9800042,0.01999574,0,2.30313,0,2563.094,17300.19,39.7686,40.3058,39.2437,38.7998,38.9999,1960.009,39.992,0,1657479227.5,0,0,"--:--:--",1657313570,1657313571.5,0,-0.183,-0.004,8.751,0.37,417,25,0.7,0.09,-2.99964951219512,-0.0625697560975565,0.101425668035007,1,0.653545414634146,-1.0501398815331,0.106663685184647,0,1,2,"1/2",2.96983,2.69987,0.0726918,0.0742492,0.0852649,0.0846037,35928.6,39163.9,35130.5,38388,45610.9,50759.3,54956.8,61582.6,1.9414,2.1194,0.119001,0,25.8686,999.9,43.169,34.946,33.166,53.8001,36.3662,2,0.211463,3.57192,20.1089,5.19932,12.0099,4.976,3.294,9999,9999,9999,582.8,1.86313,1.86798,1.86768,1.8689,1.86966,1.86569,1.86676,1.86813,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,7.341,0.3544,4.13642936665236,0.00845226877254873,-1.69596367087116e-06,4.01571750291996e-10,-0.0933317125700415,-0.0123801713234467,0.00146137830298027,-7.38890925161513e-06,15,2141,1,40,2761.4,2761.4,1.3208,2.64648,2.24854,2.73438,1.99585,2.38892,39.9942,13.8869,18,499.32,623.334,23.1374,29.8521,29.9881,29.8004,29.7052,26.3901,26.0362,2.83836,23.5728,413.146,23.9163,101.916,102.499,"road"
"2",2,1657479258,5,2022-07-10 13:54:18,13:54:18,5,"potfru_r1","ozzie",1657479255.5,0.00116321776122827,1.16321776122828,5.63730119433025,416.596996066579,172.565596288752,12.6576130266056,30.5572123161424,0.0394412345176284,3.15017369108189,0.0391689362518106,0.0245048932047846,321.516662333333,28.4281597284566,28.4281597284566,3.89059746859996,50.3805254910838,1.79675161216632,3.56636139590149,2.09384585643364,-51.2979032701671,-252.9034452274,-17.4446918017092,-0.129377965942638,1.55242930216087,1.03134743956274,5.63730119433025,428.347799848165,426.406993939394,-0.310800573243176,64.5051833422349,1.16321776122828,23.9564453505235,24.5139163636364,0.012140465887901,77.4787496490575,0,0,1,0,38754,2000.00777777778,1681.20623333333,0.840599847667259,0.16075770599781,2.7,0.5,"0: Broadleaf",2,TRUE,1657479255.5,416.597,417.667333333333,24.4957333333333,23.9524444444444,409.257777777778,24.1402555555556,499.996666666667,73.3025,0.0470743,26.9390222222222,27.7449777777778,999.9,0,0,9985,0,438.416888888889,-1.07018955555556,427.058,427.916888888889,0.543289888888889,417.667333333333,23.9524444444444,1.79559888888889,1.75577555555556,15.7485222222222,15.3985333333333,2000.00777777778,0.980006111111111,0.0199942111111111,0,2.30005555555556,0,2564.64555555556,17300.2555555556,39.847,40.347,39.3052222222222,38.868,39.083,1960.01777777778,39.99,0,1657479232.3,0,0,"--:--:--",1657313570,1657313571.5,0,-0.183,-0.004,8.751,0.37,417,25,0.7,0.09,-2.68244165,5.14701726078799,0.860116625432463,0,0.5948322,-0.755505748592871,0.0840908228290103,0,0,2,"0/2",2.97086,2.69996,0.0725354,0.0733911,0.0853678,0.0845778,35939.2,39205.3,35134.8,38392.8,45610.5,50766.4,54962.6,61589.5,1.9412,2.1202,0.112712,0,25.8407,999.9,43.145,34.946,33.1431,54.1701,36.4143,2,0.19872,0.89817,20.1468,5.19692,12.0099,4.9744,3.294,9999,9999,9999,582.8,1.86316,1.86798,1.86768,1.8689,1.86966,1.86569,1.86676,1.86813,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,7.332,0.3561,4.13642936665236,0.00845226877254873,-1.69596367087116e-06,4.01571750291996e-10,-0.0933317125700415,-0.0123801713234467,0.00146137830298027,-7.38890925161513e-06,15,2141,1,40,2761.5,2761.4,1.29517,2.65137,2.24854,2.73438,1.99585,2.3999,39.9942,13.9044,18,499.017,623.772,23.1933,29.8243,29.9881,29.7804,29.6864,25.9081,26.0362,2.41534,23.7377,399.572,23.7659,101.928,102.511,"road"
"3",3,1657479263,10,2022-07-10 13:54:23,13:54:23,5,"potfru_r1","ozzie",1657479260.2,0.00126860250272959,1.26860250272959,5.40025174780029,413.175696246433,198.737082878137,14.5770155300774,30.3057107088964,0.043471863681582,3.15749195552972,0.0431420790893537,0.0269932205697657,321.5032914,28.3501132234364,28.3501132234364,3.87298694604772,50.6056733145057,1.79956682952278,3.55605747667615,2.07342011652494,-55.9453703703751,-248.586012468499,-17.0962793976803,-0.124370836553908,-10.0239981805685,1.18519866661274,5.40025174780029,417.578218194526,420.23523030303,-1.4889628445628,64.5051833422349,1.26860250272959,23.9326242377229,24.5485751515151,0.0114776138513598,77.4787496490575,0,0,1,0,38777,1999.924,1681.13586,0.840599872795166,0.160757754494671,2.7,0.5,"0: Broadleaf",2,TRUE,1657479260.2,413.1757,408.0273,24.53456,23.91027,405.8613,24.1774,500.012,73.30221,0.0460314,26.88979,27.66955,999.9,0,0,10017.5,0,441.7824,5.148396,423.5676,418.0223,0.6243019,408.0273,23.91027,1.798437,1.752676,15.77322,15.37099,1999.924,0.9800058,0.01999446,0,2.26293,0,2566.101,17299.54,39.9309,40.4246,39.3812,38.7747,39.1436,1959.934,39.99,0,1657479237.7,0,0,"--:--:--",1657313570,1657313571.5,0,-0.183,-0.004,8.751,0.37,417,25,0.7,0.09,-1.08207917073171,25.4628449686411,3.10480406281437,0,0.574543951219512,-0.170047651567944,0.0643778938221283,0,0,2,"0/2",2.97,2.70066,0.0716284,0.0716025,0.0854657,0.0843062,35978.8,39285.8,35139,38397.5,45610.7,50787.2,54968.9,61596.4,1.9416,2.1204,0.111341,0,25.8163,999.9,43.12,34.956,33.1456,53.0701,36.3141,2,0.190935,-0.261808,20.1492,5.19932,12.0099,4.976,3.294,9999,9999,9999,582.8,1.86325,1.86798,1.86768,1.8689,1.86966,1.86569,1.86676,1.8681,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,7.284,0.3578,4.13642936665236,0.00845226877254873,-1.69596367087116e-06,4.01571750291996e-10,-0.0933317125700415,-0.0123801713234467,0.00146137830298027,-7.38890925161513e-06,15,2141,1,40,2761.6,2761.5,1.26221,2.65259,2.24854,2.7356,1.99585,2.39746,39.9689,13.9131,18,499.153,623.772,23.54,29.8006,29.9911,29.7656,29.6722,25.1667,26.6253,2.41534,23.9655,379.365,23.6634,101.939,102.523,"road"
"4",4,1657479268,15,2022-07-10 13:54:28,13:54:28,5,"potfru_r1","ozzie",1657479265.5,0.00142314991719989,1.4231499171999,4.67018955436322,403.925996743619,236.123414499474,17.3191384338518,29.6270925501541,0.0492358877597324,3.15228965418086,0.0488126194430301,0.0305456127022698,321.508353853654,28.2748174574544,28.2748174574544,3.85606304417949,50.7381922741052,1.80003300130348,3.54768847809769,2.056030042876,-62.7609113485155,-242.191464927741,-16.6743812682204,-0.118403690823442,-20.9732745310566,1.50124548070612,4.67018955436322,403.056641804567,409.370933333333,-2.34659853880254,64.5051833422349,1.4231499171999,23.7661080564051,24.5255703030303,-0.00214224341408667,77.4787496490575,0,0,1,0,38744,1999.95333333333,1681.1606973335,0.840599962665878,0.160757927945146,2.7,0.5,"0: Broadleaf",2,TRUE,1657479265.5,403.926,392.927111111111,24.5410555555556,23.7502222222222,396.678444444444,24.1836222222222,499.964888888889,73.3020444444444,0.0457786444444444,26.8497111111111,27.6347222222222,999.9,0,0,9994.44444444444,0,446.379,10.9986977777778,414.088,402.486333333333,0.790834,392.927111111111,23.7502222222222,1.79890888888889,1.74093888888889,15.7773222222222,15.2663444444444,1999.95333333333,0.980003666666666,0.0199967555555556,0,2.28931111111111,0,2568.89777777778,17299.7666666667,40.0206666666667,40.444,39.444,38.8123333333333,39.208,1959.96111111111,39.9966666666667,0,1657479242.5,0,0,"--:--:--",1657313570,1657313571.5,0,-0.183,-0.004,8.751,0.37,417,25,0.7,0.09,2.01762863414634,50.9335988362369,5.29053367069345,0,0.60115143902439,0.880759421602787,0.102536137011168,0,0,2,"0/2",2.97039,2.69963,0.07009,0.0694524,0.0854042,0.0840509,36041.8,39381.5,35142.2,38402,45617.7,50807.5,54973.7,61604,1.942,2.1204,0.11313,0,25.781,999.9,43.072,34.956,33.1055,53.5301,36.3702,2,0.186626,-0.726558,20.1482,5.19932,12.0099,4.9756,3.294,9999,9999,9999,582.8,1.86319,1.86798,1.86768,1.8689,1.86966,1.86572,1.86676,1.86813,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,7.204,0.3567,4.13642936665236,0.00845226877254873,-1.69596367087116e-06,4.01571750291996e-10,-0.0933317125700415,-0.0123801713234467,0.00146137830298027,-7.38890925161513e-06,15,2141,1,40,2761.6,2761.6,1.2207,2.65625,2.24854,2.73438,1.99585,2.3645,39.9689,13.9044,18,499.246,623.574,23.9386,29.7755,29.9948,29.7446,29.6534,24.3811,26.9072,2.04259,24.2191,365.961,23.6036,101.948,102.535,"road"
"5",5,1657479273,20,2022-07-10 13:54:33,13:54:33,5,"potfru_r1","ozzie",1657479270.2,0.00148991186978795,1.48991186978795,4.85930125232688,391.892896600622,225.934129935052,16.5723104160754,28.7454167911126,0.0516848711895314,3.15577392040966,0.0512191739474813,0.0320534749044151,321.522454841907,28.2450129970037,28.2450129970037,3.84938186822774,50.7127506257442,1.79783799375648,3.54513997283321,2.05154387447126,-65.7051134576488,-239.467635237107,-16.4651921577384,-0.115486010587119,-26.0021479723158,1.56460333333176,4.85930125232688,386.639048777442,395.031903030303,-2.9223141414461,64.5051833422349,1.48991186978795,23.7044709217925,24.4928812121212,-0.00078821547127323,77.4787496490575,0,0,1,0,38559,2000.039,1681.23287939995,0.84060004799904,0.160758092638147,2.7,0.5,"0: Broadleaf",2,TRUE,1657479270.2,391.8929,378.1833,24.51034,23.68619,384.7325,24.15422,500.0166,73.30497,0.04521583,26.83749,27.62225,999.9,0,0,10009.5,0,451.0886,13.70937,401.7394,387.3586,0.8241481,378.1833,23.68619,1.79673,1.736315,15.75837,15.22494,2000.039,0.9799984,0.0200018,0,2.20204,0,2570.318,17300.48,40.0935,40.5062,39.5186,38.9122,39.281,1960.036,40.004,0,1657479247.3,0,0,"--:--:--",1657313570,1657313571.5,0,-0.183,-0.004,8.751,0.37,417,25,0.7,0.09,6.84713082926829,59.9128162996515,6.00404325927148,0,0.688157536585366,1.19279136585366,0.120951217537121,0,0,2,"0/2",2.97028,2.69894,0.068152,0.0672507,0.0853326,0.0838701,36119,39477.4,35144.1,38404.5,45623,50820.7,54975.7,61607.8,1.9428,2.1202,0.114113,0,25.751,999.9,43.023,34.956,33.0706,53.7501,36.3542,2,0.184533,-0.911547,20.1473,5.19932,12.0099,4.976,3.294,9999,9999,9999,582.8,1.86313,1.86798,1.86768,1.8689,1.86966,1.86569,1.86676,1.86813,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,7.103,0.3553,4.13642936665236,0.00845226877254873,-1.69596367087116e-06,4.01571750291996e-10,-0.0933317125700415,-0.0123801713234467,0.00146137830298027,-7.38890925161513e-06,15,2141,1,40,2761.7,2761.7,1.1792,2.64771,2.24854,2.7356,1.99585,2.37549,39.9437,13.9219,18,499.646,623.228,24.273,29.7518,29.9969,29.7288,29.6366,23.626,26.9072,2.04259,24.482,345.769,23.5631,101.953,102.542,"road"
"6",6,1657479278,25,2022-07-10 13:54:38,13:54:38,5,"potfru_r1","ozzie",1657479275.5,0.00154474683582356,1.54474683582357,4.60021357702171,376.669996800686,224.053713314957,16.434090713965,27.628325391553,0.0535203488094552,3.15407783104872,0.0530208943726899,0.0331825443953884,321.513743333333,28.2488235877278,28.2488235877278,3.85023551344751,50.5972543164432,1.79548216364708,3.54857627731706,2.05475334980043,-68.1233354598193,-237.185158897291,-16.3186751123503,-0.113426136127401,-28.0964070302437,1.58140445112659,4.60021357702171,371.087252241072,380.05323030303,-3.03555509778468,64.5051833422349,1.54474683582357,23.6493273478952,24.470396969697,-0.00158762761811341,77.4787496490575,0,0,1,0,38814,1999.98666666667,1681.18873333333,0.840599970666471,0.160757943386289,2.7,0.5,"0: Broadleaf",2,TRUE,1657479275.5,376.67,361.818,24.4786555555556,23.6455111111111,369.620666666667,24.1239,499.946111111111,73.3031666666667,0.0457212888888889,26.8539666666667,27.6245777777778,999.9,0,0,10002.2222222222,0,456.327888888889,14.8520222222222,386.121888888889,370.580777777778,0.833145111111111,361.818,23.6455111111111,1.79436222222222,1.73329,15.7377666666667,15.1978333333333,1999.98666666667,0.979999555555556,0.0200006888888889,0,2.33874444444444,0,2571.02333333333,17300.0333333333,40.194,40.5482222222222,39.611,39.1108888888889,39.347,1959.98888888889,39.9977777777778,0,1657479252.1,0,0,"--:--:--",1657313570,1657313571.5,0,-0.183,-0.004,8.751,0.37,417,25,0.7,0.09,10.8759663414634,39.4906467595819,4.12312041784644,0,0.761222024390244,0.829257449477352,0.0924551810542811,0,0,2,"0/2",2.97028,2.69963,0.0660663,0.0649494,0.085293,0.0838263,36200.9,39577,35145,38406.5,45625.8,50824.9,54976.7,61610.1,1.9438,2.1204,0.117213,0,25.7188,999.9,42.998,34.956,33.0514,53.7001,36.4022,2,0.182398,-0.980763,20.1466,5.19812,12.0099,4.9756,3.294,9999,9999,9999,582.8,1.86316,1.86798,1.86768,1.8689,1.86966,1.86569,1.86676,1.86813,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,6.996,0.3546,4.13642936665236,0.00845226877254873,-1.69596367087116e-06,4.01571750291996e-10,-0.0933317125700415,-0.0123801713234467,0.00146137830298027,-7.38890925161513e-06,15,2141,1,40,2761.8,2761.8,1.13892,2.65137,2.24854,2.7356,1.99585,2.3877,39.9184,13.9219,18,500.137,623.19,24.5785,29.7241,29.998,29.7084,29.6179,22.7418,27.1984,1.66529,24.7456,332.292,23.5214,101.955,102.546,"road"
"7",7,1657479283,30,2022-07-10 13:54:43,13:54:43,5,"potfru_r1","ozzie",1657479280.2,0.00161068068608832,1.61068068608832,4.26694966824442,362.434097013993,225.178395630223,16.516320879166,26.5837130026627,0.055721106101112,3.15106019162623,0.0551794432567452,0.0345353793456922,321.5215125,28.2581282726734,28.2581282726734,3.85232063483157,50.4759964257023,1.79371397948863,3.55359796042633,2.05860665534294,-71.031018256495,-234.452734087418,-16.1488144791005,-0.111054323013036,-29.7813817909393,1.70871517959406,4.26694966824442,354.470390549399,364.192351515151,-3.18672389141578,64.5051833422349,1.61068068608832,23.5791090028056,24.4318672727273,-0.00092327636392498,77.4787496490575,0,0,1,0,38625,2000.032,1681.22709,0.840600095398474,0.160758184119054,2.7,0.5,"0: Broadleaf",2,TRUE,1657479280.2,362.4341,346.6859,24.45494,23.55476,355.4893,24.10121,499.9786,73.30199,0.04572541,26.87802,27.64166,999.9,0,0,9989,0,461.2937,15.74817,371.5196,355.0492,0.9001733,346.6859,23.55476,1.792594,1.72661,15.72239,15.13774,2000.032,0.9799959,0.02000426,0,2.23274,0,2571.357,17300.42,40.281,40.6124,39.6809,39.281,39.4371,1960.025,40.007,0,1657479257.5,0,0,"--:--:--",1657313570,1657313571.5,0,-0.183,-0.004,8.751,0.37,417,25,0.7,0.09,13.600387804878,20.875243902439,2.22200897921339,0,0.831516878048781,0.487084682926831,0.0545787884998108,0,0,2,"0/2",2.97055,2.69995,0.063795,0.0625577,0.0851848,0.0835054,36289.2,39680.2,35145.2,38408.3,45632,50844.4,54977.8,61612.1,1.9444,2.121,0.120997,0,25.6959,999.9,42.95,34.956,33.0135,53.9201,36.3942,2,0.180244,-1.06392,20.1461,5.19932,12.0099,4.9756,3.294,9999,9999,9999,582.8,1.86313,1.86795,1.86768,1.8689,1.86966,1.86569,1.86676,1.86813,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,6.88,0.3525,4.13642936665236,0.00845226877254873,-1.69596367087116e-06,4.01571750291996e-10,-0.0933317125700415,-0.0123801713234467,0.00146137830298027,-7.38890925161513e-06,15,2141,1,40,2761.9,2761.9,1.09375,2.65747,2.24854,2.73438,1.99585,2.38403,39.8932,13.9131,18,500.39,623.48,24.8523,29.6996,29.9981,29.691,29.6007,21.9104,27.1984,1.66529,24.9987,312.148,23.5051,101.956,102.55,"road"
"8",8,1657479288,35,2022-07-10 13:54:48,13:54:48,5,"potfru_r1","ozzie",1657479285.5,0.00162671653854907,1.62671653854907,3.98659113222627,345.701330608374,217.583004055282,15.95863998632,25.3554872170491,0.0559742204117924,3.16787105812827,0.055430521468718,0.0346924848564569,321.518303666667,28.2886760061609,28.2886760061609,3.8591731169879,50.2382065931557,1.78960659296589,3.56224219438935,2.06956652402202,-71.7381993500142,-233.861124642911,-16.0283321114445,-0.109352437703109,-30.964141335052,1.71716837098872,3.98659113222627,337.668021887507,347.82123030303,-3.25992995466601,64.5051833422349,1.62671653854907,23.4982817804649,24.3849478787879,-0.00649561016459893,77.4787496490575,0,0,1,0,39250,2000.01,1681.20876666667,0.840600180332432,0.160758348041593,2.7,0.5,"0: Broadleaf",2,TRUE,1657479285.5,345.701333333333,329.299666666667,24.3998222222222,23.4950888888889,338.879777777778,24.0484888888889,499.951555555556,73.3000222222222,0.0450446666666667,26.9193555555556,27.6964111111111,999.9,0,0,10063.8888888889,0,468.861444444444,16.4014333333333,354.347,337.222666666667,0.904736666666667,329.299666666667,23.4950888888889,1.78850666666667,1.72219111111111,15.6867111111111,15.0979111111111,2000.01,0.979994333333333,0.0200058111111111,0,2.37155555555556,0,2572.49333333333,17300.2,40.3887777777778,40.6387777777778,39.75,39.4163333333333,39.5206666666667,1959.99777777778,40.0122222222222,0,1657479262.3,0,0,"--:--:--",1657313570,1657313571.5,0,-0.183,-0.004,8.751,0.37,417,25,0.7,0.09,14.879643902439,12.3843867595819,1.27137826845011,0,0.859407243902439,0.413848662020906,0.0466900597264298,0,0,2,"0/2",2.97066,2.70009,0.0614372,0.0600946,0.0850788,0.0834524,36382.5,39786.9,35147,38410.6,45638.7,50849.9,54979.4,61615.3,1.9446,2.1204,0.124663,0,25.6785,999.9,42.925,34.976,33.0351,53.2701,36.4744,2,0.178272,-0.96183,20.1472,5.19932,12.0099,4.9756,3.294,9999,9999,9999,582.8,1.86313,1.86798,1.86768,1.8689,1.86966,1.86569,1.86676,1.86813,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,6.762,0.3505,4.13642936665236,0.00845226877254873,-1.69596367087116e-06,4.01571750291996e-10,-0.0933317125700415,-0.0123801713234467,0.00146137830298027,-7.38890925161513e-06,15,2141,1,40,2762,2761.9,1.05103,2.66113,2.24854,2.73438,1.99585,2.38403,39.8932,13.9131,18,500.354,622.828,25.1044,29.6755,29.9981,29.6706,29.584,20.9896,27.1984,1.29284,25.2159,298.759,23.5083,101.96,102.556,"road"
"9",9,1657479293,40,2022-07-10 13:54:53,13:54:53,5,"potfru_r1","ozzie",1657479290.2,0.00159035756392958,1.59035756392959,3.76656690866867,330.586397413424,206.200932155072,15.1241190684288,24.2473590426035,0.054382746706206,3.15554364827346,0.0538673874192718,0.0337130129702793,321.5076414,28.3335237731168,28.3335237731168,3.86925265290756,50.0819102871293,1.78730266114403,3.56875896086445,2.08194999176353,-70.1347685692948,-235.289117645267,-16.1953402031884,-0.111585017750599,-31.6468511927478,1.69247182774774,3.76656690866867,320.778485982663,331.234890909091,-3.30840382179095,64.5051833422349,1.59035756392959,23.4796634799327,24.3578109090909,-0.00884938830598636,77.4787496490575,0,0,1,0,39282,1999.944,1681.15326,0.84060016680467,0.160758321933014,2.7,0.5,"0: Broadleaf",2,TRUE,1657479290.2,330.5864,313.7995,24.36793,23.47628,323.8767,24.01798,500.0079,73.30115,0.04536163,26.95046,27.72587,999.9,0,0,10009,0,478.5569,16.78694,338.8433,321.3434,0.891637,313.7995,23.47628,1.786197,1.720839,15.66651,15.08571,1999.944,0.979995,0.0200051,0,2.26995,0,2575,17299.62,40.4622,40.6933,39.831,39.4874,39.5935,1959.934,40.01,0,1657479267.7,0,0,"--:--:--",1657313570,1657313571.5,0,-0.183,-0.004,8.751,0.37,417,25,0.7,0.09,15.8874682926829,8.08923344947737,0.833067354006697,0,0.882168634146342,0.218543728222997,0.0356712875989039,0,0,2,"0/2",2.97016,2.6996,0.0590144,0.0575858,0.0850055,0.0834168,36477.3,39894.9,35147.7,38412.2,45642.4,50854.5,54979.6,61618.5,1.9436,2.1214,0.127226,0,25.6681,999.9,42.895,34.956,32.9774,53.3701,36.4223,2,0.176728,-0.952462,20.1473,5.19932,12.0099,4.9756,3.294,9999,9999,9999,582.8,1.86319,1.86798,1.86768,1.8689,1.86966,1.86569,1.86676,1.86813,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,6.642,0.3493,4.13642936665236,0.00845226877254873,-1.69596367087116e-06,4.01571750291996e-10,-0.0933317125700415,-0.0123801713234467,0.00146137830298027,-7.38890925161513e-06,15,2141,1,40,2762.1,2762,1.00464,2.65747,2.24854,2.7356,1.99585,2.3877,39.868,13.9219,18,499.54,623.441,25.3142,29.651,29.9983,29.6538,29.5678,20.1345,27.1984,1.29284,25.4081,278.68,23.5111,101.961,102.561,"road"
"10",10,1657479298,45,2022-07-10 13:54:58,13:54:58,5,"potfru_r1","ozzie",1657479295.5,0.00164272270021315,1.64272270021316,3.38623002337859,313.338108763036,203.608065428089,14.9337120678309,22.9819044069181,0.0560363976820874,3.15083775341358,0.0554885818629187,0.0347291362978161,321.522431,28.350319604084,28.350319604084,3.87303342222049,49.9484201848697,1.78542390282592,3.57453528303335,2.08760951939457,-72.4440710794002,-233.115025845087,-16.0732114523215,-0.109877376808384,-32.2538785989363,1.67512662474855,3.38623002337859,303.840410252273,314.532909090909,-3.3154318114872,64.5051833422349,1.64272270021316,23.4630169636633,24.3372072727273,-0.00190689775301852,77.4787496490575,0,0,1,0,38983,2000.03666666667,1681.2311,0.840600138997452,0.160758268265082,2.7,0.5,"0: Broadleaf",2,TRUE,1657479295.5,313.338111111111,296.203888888889,24.3426888888889,23.4601111111111,306.756666666667,23.9938222222222,499.983555555556,73.2996444444445,0.0457411444444444,26.9779888888889,27.7575444444444,999.9,0,0,9988.33333333333,0,491.522666666667,17.1341222222222,321.155777777778,303.319666666667,0.882574888888889,296.203888888889,23.4601111111111,1.78431222222222,1.71962,15.6500111111111,15.0746555555556,2000.03666666667,0.979996,0.0200040666666667,0,2.19534444444444,0,2578.41444444444,17300.4333333333,40.5482222222222,40.7568888888889,39.8956666666667,39.5206666666667,39.6663333333333,1960.02666666667,40.01,0,1657479272.5,0,0,"--:--:--",1657313570,1657313571.5,0,-0.183,-0.004,8.751,0.37,417,25,0.7,0.09,16.3702926829268,5.81217282229968,0.608882538389973,0,0.891476682926829,0.0253756933797951,0.0273308822142056,1,1,2,"1/2",2.97074,2.69863,0.0565162,0.0549669,0.084961,0.0833728,36575.8,40007.5,35149.2,38413.8,45645.9,50858.5,54981.2,61620.5,1.945,2.122,0.129044,0,25.659,999.9,42.846,34.976,32.9713,53.2001,36.3862,2,0.174248,-0.910479,20.1479,5.19932,12.0099,4.9756,3.294,9999,9999,9999,582.8,1.86325,1.86798,1.86768,1.8689,1.86966,1.86569,1.86676,1.86813,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,6.52,0.3484,4.13642936665236,0.00845226877254873,-1.69596367087116e-06,4.01571750291996e-10,-0.0933317125700415,-0.0123801713234467,0.00146137830298027,-7.38890925161513e-06,15,2141,1,40,2762.1,2762.1,0.961914,2.66113,2.24854,2.73438,1.99585,2.37305,39.868,13.9131,18,500.307,623.721,25.5009,29.627,29.9981,29.6345,29.5497,19.1979,27.1984,0.920404,25.5817,265.164,23.5145,101.965,102.564,"road"
