 ,Area,Mean,Min,Max
1,11.477,255,255,255
2,18.357,255,255,255
3,16.016,255,255,255
4,12.604,255,255,255
5,16.533,255,255,255
6,13.602,255,255,255
7,12.654,255,255,255
8,6.298,255,255,255
9,9.609,255,255,255
10,12.82,255,255,255
11,11.376,255,255,255
12,14.673,255,255,255
13,5.142,255,255,255
14,9.76,255,255,255
15,12.999,255,255,255
16,11.189,255,255,255
17,10.608,255,255,255
18,7.404,255,255,255
19,12.46,255,255,255
20,7.685,255,255,255
21,18.845,255,255,255
22,11.764,255,255,255
23,17.344,255,255,255
24,12.008,255,255,255
25,14.507,255,255,255
26,9.566,255,255,255
27,10.744,255,255,255
28,14.263,255,255,255
29,6.55,255,255,255
30,9.81,255,255,255
31,8.905,255,255,255
32,7.318,255,255,255
33,20.504,255,255,255
34,8.094,255,255,255
35,9.897,255,255,255
36,10.062,255,255,255
37,7.871,255,255,255
38,14.292,255,255,255
39,7.9,255,255,255
40,6.018,255,255,255
41,7.483,255,255,255
42,8.554,255,255,255
43,9.502,255,255,255
44,6.184,255,255,255
45,10.442,255,255,255
46,11.441,255,255,255
47,11.548,255,255,255
48,15.017,255,255,255
49,8.482,255,255,255
50,9.631,255,255,255
51,7.318,255,255,255
52,12.963,255,255,255
53,5.164,255,255,255
54,15.427,255,255,255
55,5.58,255,255,255
56,25.97,255,255,255
total,630.234,,,
,6.30234,,,
