"","obs","time..2","elapsed","date","hhmmss..5","averaging","id","machine","TIME..9","E","Emm","A","Ca","Ci","Pci","Pca","gsw","gbw","gtw","gtc","Rabs","TleafEB","TleafCnd","SVPleaf","RHcham","VPcham","SVPcham","VPDleaf","LatHFlux","SenHFlux","NetTherm","EBSum","Asty","Esty","Adyn","Crd","Csd","dCsd/dt","αVc","Edyn","Hr","Hs","dHs/dt","αVh","Leak","LeakPct","CorrFact","CorrFactPct","Fan","Qin","Qabs","alpha","convert","S","K","Geometry","Custom","UseDynamic","TIME..59","CO2_s","CO2_r","H2O_s","H2O_r","CO2_a","H2O_a","Flow","Pa","ΔPcham","Tair","Tleaf","Tleaf2","Offset","Offset2","Fan_speed","Qamb_in","Qamb_out","ΔCO2","CO2_s_d","CO2_r_d","ΔH2O","CO2_b","H2O_b","e_s","e_r","Td_s","Td_r","Q","f_red","f_blue","f_farred","F","Q_modavg","F_dc","Pc","Tled","TDigital","TPreamp","TPwrSpy","TDrive","Q_red","Q_blue","Q_farred","TSPF","state","time..105","hhmmss..106","co2_t","h2o_t","count","co2_adj","h2o_adj","co2_match","h2o_match","co2_at","h2o_at","co2_cv","h2o_cv","ΔCO2:MN","ΔCO2:SLP","ΔCO2:SD","ΔCO2:OK","ΔH2O:MN","ΔH2O:SLP","ΔH2O:SD","ΔH2O:OK","Stable","Total","State","Vflow","VPchamber","abs_c_a","abs_c_b","abs_h_a","abs_h_b","Wc_s","Wc_r","Wco_s","Wco_r","Ww_s","Ww_r","Wwo_s","Wwo_r","Flow_s_v","Flow_r_v","Tleaf_mv","Tleaf2_mv","Tleaf_j","Tleaf2_j","Console_RH","Console_T","Console_H2O","Fan_%","Flow_%","Pump","Tchp_pwm","Txchg_pwm","diag_20v","diag_5_4v","diag_12v","diag_5va","diag_3_3vf","AccCO2_soda","AccH2O_des","AccH2O_hum","CO2_hrs","ADC_CH1","ADC_CH2","ADC_CH3","ADC_CH4","ADC_CH5","ADC_CH6","ADC_CH7","ADC_CH8","DAC_1","DAC_2","DAC_3","DAC_4","GPIO","GPIO_dir","excit_5v","power_12v","power_5v","ch1_pullup","AuxPower","MatchValveR","MatchValveS","MatchCO2","MatchH2O","cf_co2_a","cf_co2_b","cf_co2_c","cf_co2_d","cf_h2o_a","cf_h2o_b","cf_h2o_c","cf_h2o_d","co2_fit_low","co2_fit_high","h2o_fit_low","h2o_fit_high","co2_elapsed","h2o_elapsed","CO2_f","CO2_f_s","Pump_f","Pump_f_s","Pump_p","Pump_p_s","Tboard","V_system","DIAG","Flow_s","Flow_r","Txchg","Tirga","Tchopper","Ts","Tr","CO2_%","Desiccant_%","Humidifier_%","Txchg_sp","CO2_r_sp","H2O_r_sp","SS_s","SS_r","site"
"1",1,1657555748.5,0,2022-07-11 11:09:08,11:09:08,5,"lupbak.r4","stan",1657555745.75,0.00409266858618925,4.09266858618926,18.0542334691789,395.833171026398,220.802823103416,15.5855338689007,27.9401830409425,0.18307176892141,2.35955823505012,0.175530895439654,0.110358444004367,321.5167557,26.1287595523606,25.01686,3.18287513562975,49.760894192301,1.59277602103434,3.20085892122247,1.5900991145954,-180.486684650946,12.0275640123563,1.07891532393352,154.136550385344,18.0083474220112,4.10250427504695,18.0542334691789,426.982732263307,404.945145454545,-0.00546017664120816,64.4156773459309,4.09266858618926,17.7373401255759,22.5623363636364,-0.00547614330573855,78.3725058494996,0,0,1,0,37393,2000.008,1681.20645,0.84059986260055,0.160757734819061,6,0.5,"0: Broadleaf",2,TRUE,1657555745.75,395.8332,419.3929,22.56512,17.753,398.6927,22.68339,499.9789,70.48586,0.09989452,25.11141,25.01686,999.9,0,0,9998.561,0,1157.258,-23.55976,404.9713,426.9729,4.812123,419.3929,17.753,1.590522,1.251333,13.86727,10.22673,2000.008,0.9800042,0.0199954,0,2.22988,0,9988.451,16749.55,37.937,39.812,38.2996,38.375,37.125,1960.017,39.991,0,1657555748.9,0,0,"--:--:--",1657463822.6,1657463835.1,0,-2.657,-13.192,-3.924,-0.217,376,3,0.48,0.03,-23.5872725,0.108728330206416,0.042146274968851,0,4.82213025,-0.149065553470932,0.0195228167137199,0,0,2,"0/2",2.98337,2.71547,0.071326,0.0734143,0.0812961,0.0673099,29423,29503.3,29444,29445.7,35849,36491.2,41480.3,41925.4,1.97945,2.15745,0.0620782,0,23.9936,999.9,42.8,28.7,23.9995,62.4502,26.9071,2,-0.102962,2.28302,20.3731,5.22043,12.0099,4.9904,3.28923,9433.9,9999,9999,140.4,1.86707,1.86615,1.86569,1.86561,1.86738,1.86996,1.86859,1.86999,0,0,0,0,"00000000","iiiiiiii","off","off","off","off",0,100,100,-2.859,-0.1183,-1.80350864432341,-0.00246650502896927,-5.34622600183764e-07,1.96377069994539e-10,-0.258204628366549,-0.0132142598451644,0.00141796143618452,-2.48414735225793e-05,19,2313,1,30,1532.1,1531.9,1.3147,2.21069,1.94702,2.81494,2.19482,2.34375,33.2663,15.2528,18,530.116,613.123,20.9758,26.1942,30,26.1303,26.0644,26.3245,23.5438,21.3107,20.9754,412.761,17.8571,100.698,100.726,"pfeiler"
"2",2,1657555753.5,5,2022-07-11 11:09:13,11:09:13,5,"lupbak.r4","stan",1657555751,0.00409348100491266,4.09348100491267,18.1278156592205,395.761748776601,220.534018607388,15.5666903780162,27.9353754380876,0.183579899485377,2.35813492198585,0.175993666456136,0.110651511316697,321.513002666667,26.1233099350142,25.0009222222222,3.17985241937259,49.8030175239231,1.59358007497845,3.19976610696926,1.58627234439414,-180.522512316649,13.3177591861128,1.19524113952303,155.503490675654,17.4901476401363,4.05897135429016,18.1278156592205,426.680889839043,404.768618181818,-0.0650923523065053,64.4156773459309,4.09348100491267,17.8098819576456,22.5877606060606,0.00537145421107542,78.3725058494996,0,0,1,0,37546,1999.98444444444,1681.18666666667,0.840599871332332,0.160757751671402,6,0.5,"0: Broadleaf",2,TRUE,1657555751,395.761777777778,418.680444444445,22.5763222222222,17.8149333333333,398.620888888889,22.6944555555556,499.938333333333,70.4864555555556,0.0998897,25.1056777777778,25.0009222222222,999.9,0,0,9988.89444444444,0,983.218777777778,-22.9187333333333,404.902888888889,426.274666666667,4.76135777777778,418.680444444445,17.8149333333333,1.59132444444444,1.25571333333333,13.8750444444444,10.2789888888889,1999.98444444444,0.980004,0.0199956,0,2.20185555555556,0,9980.44777777778,16749.3555555556,37.937,39.812,38.312,38.375,37.125,1959.99333333333,39.9911111111111,0,1657555753.7,0,0,"--:--:--",1657463822.6,1657463835.1,0,-2.657,-13.192,-3.924,-0.217,376,3,0.48,0.03,-23.5341275,1.22504577861165,0.200103670615384,0,4.80537875,-0.230514033771111,0.0276395106855656,0,0,2,"0/2",2.98354,2.71551,0.0712814,0.0729971,0.0813598,0.0673725,29424.5,29516.3,29444.1,29445.4,35846.8,36487.7,41480.7,41924.3,1.97922,2.15723,0.0598282,0,24.0077,999.9,42.7,28.7,23.9436,62.3102,27.0112,2,-0.103003,2.24708,20.373,5.21774,12.0099,4.98955,3.28865,9433.9,9999,9999,140.4,1.86707,1.86615,1.86569,1.86559,1.86737,1.86996,1.86859,1.86999,0,0,0,0,"00000000","iiiiiiii","off","off","off","off",0,100,100,-2.859,-0.118,-1.80350864432341,-0.00246650502896927,-5.34622600183764e-07,1.96377069994539e-10,-0.258204628366549,-0.0132142598451644,0.00141796143618452,-2.48414735225793e-05,19,2313,1,30,1532.2,1532,1.28906,2.21436,1.94702,2.81494,2.19482,2.33398,33.2663,15.2528,18,529.987,612.965,20.962,26.1956,30.0002,26.1324,26.0662,25.8046,23.5438,21.3107,20.9648,399.265,17.84,100.698,100.724,"pfeiler"
"3",3,1657555758.5,10,2022-07-11 11:09:18,11:09:18,5,"lupbak.r4","stan",1657555755.7,0.00406877609663918,4.06877609663919,18.0492670010933,393.997471036001,218.881558167915,15.4499531403167,27.8106685454043,0.182785899493257,2.35849188389467,0.175264789384289,0.11019044732792,321.5181921,26.1209194454508,24.99059,3.17789417830904,49.8662461133601,1.59463797129973,3.19783038746223,1.58325620700931,-179.433025861788,13.3419559456644,1.19710806463162,156.624230248508,13.1061226855907,4.06428836462842,18.0492670010933,418.939587024788,400.776836363636,-1.06210244471045,64.4156773459309,4.06877609663919,17.8236316489786,22.5940527272727,0.00041292732861805,78.3725058494996,0,0,1,0,37422,2000.017,1681.21401,0.840599859901191,0.160757729609298,6,0.5,"0: Broadleaf",2,TRUE,1657555755.7,393.9975,411.6466,22.59145,17.82444,396.852,22.70943,499.9952,70.4859,0.10000623,25.09552,24.99059,999.9,0,0,9991.376,0,941.1389,-17.64906,403.1045,419.1172,4.767018,411.6466,17.82444,1.59238,1.256371,13.88526,10.28684,2000.017,0.9800042,0.0199954,0,2.31396,0,10004.499,16749.61,37.937,39.812,38.312,38.375,37.125,1960.026,39.991,0,1657555758.5,0,0,"--:--:--",1657463822.6,1657463835.1,0,-2.657,-13.192,-3.924,-0.217,376,3,0.48,0.03,-21.927575,22.6547437148218,2.73227333696228,0,4.78618225,-0.186212645403393,0.0245952730710089,0,0,2,"0/2",2.98354,2.71548,0.0706601,0.0714755,0.0813751,0.067391,29444.1,29564.6,29444,29445.3,35845.8,36487,41480.2,41924.2,1.97985,2.15723,0.0594445,0,24.0198,999.9,42.7,28.7,23.9441,62.6202,26.895,2,-0.103176,1.77169,20.3782,5.21894,12.0099,4.9895,3.28865,9434.1,9999,9999,140.4,1.86707,1.86614,1.86569,1.86563,1.86737,1.86996,1.86859,1.87,0,0,0,0,"00000000","iiiiiiii","off","off","off","off",0,100,100,-2.846,-0.118,-1.80350864432341,-0.00246650502896927,-5.34622600183764e-07,1.96377069994539e-10,-0.258204628366549,-0.0132142598451644,0.00141796143618452,-2.48414735225793e-05,19,2313,1,30,1532.3,1532.1,1.2561,2.2168,1.94702,2.81372,2.19482,2.33521,33.2663,15.2615,18,530.422,612.989,20.97,26.1979,29.9999,26.1346,26.0683,25.151,23.5438,21.3107,21.1145,379.229,17.842,100.697,100.723,"pfeiler"
"4",4,1657555763.5,15,2022-07-11 11:09:23,11:09:23,5,"lupbak.r4","stan",1657555761,0.00406940213193464,4.06940213193464,17.591276644762,386.658082902478,216.119452662972,15.2547947383692,27.2922664569528,0.183048219673883,2.35851751472748,0.175506063872542,0.110343027339263,321.512470666667,26.1102242400981,24.9829333333333,3.17644370872445,49.9127192874175,1.59513035547664,3.19583941377995,1.58131335324781,-179.460634018318,12.9864980707403,1.16509571509821,156.203430434187,7.80972664878565,4.06867840892408,17.591276644762,405.547481062623,391.512266666667,-2.03627843336936,64.4156773459309,4.06940213193464,17.8292818308458,22.6010193939394,0.0002593412672606,78.3725058494996,0,0,1,0,37448,1999.98111111111,1681.18386666667,0.840599872332127,0.160757753601006,6,0.5,"0: Broadleaf",2,TRUE,1657555761,386.658111111111,397.917555555556,22.5987111111111,17.8266555555556,389.491666666667,22.7165777777778,500.002333333333,70.4850666666667,0.0999480111111111,25.0850666666667,24.9829333333333,999.9,0,0,9991.66666666667,0,1126.93,-11.2593922222222,395.598222222222,405.139777777778,4.77205444444444,397.917555555556,17.8266555555556,1.59287222222222,1.25651333333333,13.89,10.2885222222222,1999.98111111111,0.980004,0.0199956,0,2.23057777777778,0,9949.92888888889,16749.3222222222,37.937,39.812,38.312,38.375,37.125,1959.99,39.9911111111111,0,1657555763.9,0,0,"--:--:--",1657463822.6,1657463835.1,0,-2.657,-13.192,-3.924,-0.217,376,3,0.48,0.03,-19.613955,44.5567136960601,4.63750585093701,0,4.7800695,-0.176530131332097,0.0241149027522401,0,0,2,"0/2",2.98357,2.71563,0.0693284,0.0694951,0.0813898,0.0673514,29487.3,29627.8,29445.1,29445.4,35846.5,36488.3,41481.7,41924,1.9798,2.15718,0.0577047,0,24.0291,999.9,42.7,28.7,23.9447,62.4202,26.9792,2,-0.10439,1.76355,20.3788,5.21864,12.0099,4.98945,3.28858,9434.1,9999,9999,140.4,1.86708,1.86614,1.86569,1.86562,1.86737,1.86996,1.86859,1.86996,0,0,0,0,"00000000","iiiiiiii","off","off","off","off",0,100,100,-2.819,-0.1179,-1.80350864432341,-0.00246650502896927,-5.34622600183764e-07,1.96377069994539e-10,-0.258204628366549,-0.0132142598451644,0.00141796143618452,-2.48414735225793e-05,19,2313,1,30,1532.3,1532.1,1.21582,2.2168,1.94702,2.81494,2.19482,2.33398,33.2887,15.2615,18,530.401,612.962,21.1023,26.1981,29.9996,26.1358,26.0694,24.3399,23.5438,20.9331,21.121,365.855,17.8399,100.701,100.723,"pfeiler"
"5",5,1657555768.5,20,2022-07-11 11:09:28,11:09:28,5,"lupbak.r4","stan",1657555765.7,0.00408318456588604,4.08318456588604,17.0379576422515,376.192072669892,211.732591857357,14.9450929862577,26.5534250415836,0.184006048162813,2.3575199672779,0.176383440744734,0.110898198207811,321.5213841,26.100886444172,24.96948,3.17389652696867,49.9277602246103,1.59509616030113,3.19480816508744,1.57880036666754,-180.068439355574,14.0024545771489,1.25665540547986,156.712054727054,4.7393211674107,4.09138480044985,17.0379576422515,390.141559396947,378.911236363636,-2.61745556626598,64.4156773459309,4.08318456588604,17.8034337179189,22.5932733333333,-0.00014206337739472,78.3725058494996,0,0,1,0,37461,2000.037,1681.23081,0.840599853902703,0.160757718032216,6,0.5,"0: Broadleaf",2,TRUE,1657555765.7,376.1921,383.7264,22.59831,17.79951,378.9963,22.71616,499.9908,70.48473,0.10002436,25.07965,24.96948,999.9,0,0,9985,0,1034.188,-7.534248,384.89,390.6802,4.798795,383.7264,17.79951,1.592836,1.254593,13.88965,10.26562,2000.037,0.9800045,0.0199951,0,2.3043,0,9922.981,16749.82,37.937,39.812,38.312,38.375,37.125,1960.046,39.991,0,1657555768.7,0,0,"--:--:--",1657463822.6,1657463835.1,0,-2.657,-13.192,-3.924,-0.217,376,3,0.48,0.03,-14.89666625,62.3363163602252,6.04322575527205,0,4.77489425,0.138373395872398,0.0150531690828708,0,0,2,"0/2",2.98345,2.71552,0.0675436,0.0673133,0.0813656,0.0672949,29543.5,29697.4,29444.7,29445.6,35846.9,36490.7,41481.1,41924.3,1.9795,2.15692,0.0566393,0,24.0361,999.9,42.7,28.7,23.9456,62.4602,26.9752,2,-0.103872,1.86098,20.3778,5.21819,12.0099,4.98925,3.2885,9434.4,9999,9999,140.4,1.86708,1.86615,1.86568,1.8656,1.86738,1.86996,1.86859,1.86997,0,0,0,0,"00000000","iiiiiiii","off","off","off","off",0,100,100,-2.784,-0.118,-1.80350864432341,-0.00246650502896927,-5.34622600183764e-07,1.96377069994539e-10,-0.258204628366549,-0.0132142598451644,0.00141796143618452,-2.48414735225793e-05,19,2313,1,30,1532.4,1532.2,1.17676,2.21558,1.94702,2.81494,2.19482,2.32544,33.2887,15.2528,18,530.216,612.777,21.1363,26.2,30.0002,26.1374,26.0704,23.5592,23.5438,20.9331,21.1392,345.809,17.8486,100.7,100.724,"pfeiler"
"6",6,1657555773.5,25,2022-07-11 11:09:33,11:09:33,5,"lupbak.r4","stan",1657555771,0.00408483621309493,4.08483621309494,16.4323147363014,361.999529303965,203.220205632809,14.3441856893059,25.5515363327588,0.183759113000605,2.36197371988464,0.176170195367999,0.11076209011658,321.525416,26.0972966368142,24.9790777777778,3.17571353602361,49.9093751031269,1.59438264810731,3.19455542132688,1.5813308879163,-180.141276997487,12.6376612358786,1.13208004026387,155.153880278656,2.54562131346328,4.08622936579154,16.4323147363014,373.876564704355,364.512054545454,-2.92489502191857,64.4156773459309,4.08483621309494,17.7941168960502,22.5860757575758,-0.00015056830604689,78.3725058494996,0,0,1,0,37501,2000.06222222222,1681.252,0.840599848004729,0.160757706649126,6,0.5,"0: Broadleaf",2,TRUE,1657555771,361.999555555556,366.829555555556,22.5883,17.7953888888889,364.764444444444,22.7062888888889,499.979444444444,70.4845777777778,0.0998685111111111,25.0783222222222,24.9790777777778,999.9,0,0,10015.0133333333,0,1092.54111111111,-4.82978333333333,370.365666666667,373.475666666667,4.79289777777778,366.829555555556,17.7953888888889,1.59212555555556,1.2543,13.8828111111111,10.2621333333333,2000.06222222222,0.980004666666666,0.0199949333333333,0,2.31291111111111,0,9898.76222222222,16750.0222222222,37.937,39.812,38.312,38.361,37.125,1960.07111111111,39.9911111111111,0,1657555773.5,0,0,"--:--:--",1657463822.6,1657463835.1,0,-2.657,-13.192,-3.924,-0.217,376,3,0.48,0.03,-10.38573175,50.4396203752346,4.95932405050723,0,4.78283125,0.123883789868669,0.0143536513102938,0,0,2,"0/2",2.98363,2.71568,0.0654976,0.0650076,0.0813508,0.0673077,29608.7,29770.6,29445.1,29445.4,35848.1,36490.3,41481.9,41924.5,1.97967,2.1566,0.0572577,0,24.0432,999.9,42.6,28.7,23.889,62.6202,27.0433,2,-0.103318,1.88609,20.3776,5.21849,12.0099,4.989,3.2885,9434.4,9999,9999,140.4,1.8671,1.86615,1.86569,1.86559,1.86739,1.86996,1.86859,1.86996,0,0,0,0,"00000000","iiiiiiii","off","off","off","off",0,100,100,-2.745,-0.1181,-1.80350864432341,-0.00246650502896927,-5.34622600183764e-07,1.96377069994539e-10,-0.258204628366549,-0.0132142598451644,0.00141796143618452,-2.48414735225793e-05,19,2313,1,30,1532.5,1532.3,1.13281,2.21802,1.94702,2.81372,2.19482,2.33032,33.2887,15.2528,18,530.347,612.545,21.1558,26.202,30.0004,26.139,26.0726,22.6874,23.5438,20.9331,21.1603,332.434,17.8558,100.701,100.724,"pfeiler"
"7",7,1657555778.5,30,2022-07-11 11:09:38,11:09:38,5,"lupbak.r4","stan",1657555775.7,0.00407636349704337,4.07636349704338,15.7244963655016,348.275774884425,195.972469089964,13.8323377160404,24.582371997903,0.183359571973433,2.36086636801408,0.175799502219338,0.11052795679795,321.5148405,26.1019894733502,24.97745,3.17540530830152,49.8941396694603,1.59405149124562,3.19486717639771,1.5813538170559,-179.767630219613,13.0473731225946,1.1693302494991,155.963913652481,1.26099398978425,4.07695934376079,15.7244963655016,357.259176742832,349.277927272727,-3.06656055234513,64.4156773459309,4.07636349704338,17.8008509709442,22.5828484848485,-0.00014599362423493,78.3725058494996,0,0,1,0,37536,1999.996,1681.19637,0.840599866199732,0.160757741765484,6,0.5,"0: Broadleaf",2,TRUE,1657555775.7,348.2758,351.493,22.58405,17.80201,351.0025,22.70209,499.9814,70.48312,0.09994598,25.07996,24.97745,999.9,0,0,10007.76,0,1115.709,-3.217114,356.3231,357.8636,4.782052,351.493,17.80201,1.591795,1.254741,13.87959,10.26739,1999.996,0.9800039,0.0199957,0,2.35189,0,9871.667,16749.46,37.937,39.812,38.312,38.3309,37.125,1960.005,39.991,0,1657555778.9,0,0,"--:--:--",1657463822.6,1657463835.1,0,-2.657,-13.192,-3.924,-0.217,376,3,0.48,0.03,-7.28735634146341,35.5663590940767,3.59764186841187,0,4.78585365853659,0.0465748432055706,0.0120064912841585,1,1,2,"1/2",2.98353,2.71573,0.0632987,0.0626354,0.081338,0.0673194,29677.4,29845.5,29444.2,29444.8,35847.7,36489,41480.8,41923.6,1.97973,2.15667,0.0564307,0,24.0481,999.9,42.6,28.7,23.8883,62.5102,26.9952,2,-0.103028,1.90441,20.3775,5.21849,12.0099,4.989,3.28845,9434.7,9999,9999,140.4,1.86708,1.86614,1.86569,1.86558,1.86738,1.86996,1.86859,1.86997,0,0,0,0,"00000000","iiiiiiii","off","off","off","off",0,100,100,-2.703,-0.1181,-1.80350864432341,-0.00246650502896927,-5.34622600183764e-07,1.96377069994539e-10,-0.258204628366549,-0.0132142598451644,0.00141796143618452,-2.48414735225793e-05,19,2313,1,30,1532.6,1532.4,1.09253,2.2229,1.94702,2.81494,2.19482,2.33154,33.3111,15.2528,18,530.396,612.604,21.1719,26.203,30.0004,26.1407,26.0726,21.8728,23.5438,20.9331,21.1736,312.398,17.8611,100.699,100.722,"pfeiler"
"8",8,1657555783.5,35,2022-07-11 11:09:43,11:09:43,5,"lupbak.r4","stan",1657555781,0.00407418752351618,4.07418752351619,14.9092204146666,332.274642822111,187.723820543019,13.2499275177263,23.4526173643608,0.183265680572885,2.35874095144779,0.175706676231973,0.110469838834125,321.520337666667,26.10352895052,24.9762222222222,3.17517283984156,49.8878584844795,1.5938472280962,3.19485998500428,1.58132561174536,-179.671669787064,13.1869526534912,1.18289703033471,156.218517563429,0.173719174050298,4.07443767858303,14.9092204146666,340.547800180933,333.7278,-3.11157811221481,64.4156773459309,4.07418752351619,17.8025730762229,22.5811648484848,-2.873533837768e-05,78.3725058494996,0,0,1,0,37540,2000.03,1681.22496666667,0.840599874335218,0.160757757466971,6,0.5,"0: Broadleaf",2,TRUE,1657555781,332.274666666667,334.107666666667,22.5814888888889,17.8027333333333,334.957111111111,22.6995666666667,500.016888888889,70.4819222222222,0.100103433333333,25.0799222222222,24.9762222222222,999.9,0,0,9993.61666666667,0,1150.8,-1.83297,339.951222222222,340.163444444444,4.77875222222222,334.107666666667,17.8027333333333,1.59158666666667,1.25477111111111,13.8775888888889,10.2677444444444,2000.03,0.980003666666666,0.0199959333333333,0,2.2315,0,9847.74222222222,16749.7333333333,37.937,39.812,38.312,38.312,37.125,1960.03777777778,39.9922222222222,0,1657555783.7,0,0,"--:--:--",1657463822.6,1657463835.1,0,-2.657,-13.192,-3.924,-0.217,376,3,0.48,0.03,-4.70815975609756,23.6553315679442,2.37479582330313,0,4.78822317073171,-0.0674989547038319,0.00899617708482793,1,1,2,"1/2",2.98356,2.71558,0.0610205,0.0602097,0.0813363,0.0673104,29749.4,29922.3,29444,29444.4,35847.1,36488.8,41480.1,41922.9,1.97967,2.1565,0.0565685,0,24.0509,999.9,42.6,28.7,23.8906,62.6102,27.0913,2,-0.102574,1.88871,20.3775,5.21849,12.0099,4.9891,3.28848,9434.7,9999,9999,140.4,1.86708,1.86614,1.86569,1.86561,1.86737,1.86996,1.86859,1.86998,0,0,0,0,"00000000","iiiiiiii","off","off","off","off",0,100,100,-2.661,-0.1181,-1.80350864432341,-0.00246650502896927,-5.34622600183764e-07,1.96377069994539e-10,-0.258204628366549,-0.0132142598451644,0.00141796143618452,-2.48414735225793e-05,19,2313,1,30,1532.7,1532.5,1.04736,2.22168,1.94702,2.81372,2.19482,2.3291,33.3111,15.2615,18,530.373,612.491,21.183,26.2047,30.0005,26.1418,26.0748,20.9751,23.5438,20.563,21.1917,299.04,17.8692,100.697,100.72,"pfeiler"
"9",9,1657555788.5,40,2022-07-11 11:09:48,11:09:48,5,"lupbak.r4","stan",1657555785.7,0.00407563208286261,4.07563208286262,14.1481001692362,317.899177449754,180.705568615668,12.754278218074,22.4374632478232,0.183362708337212,2.36168157871542,0.175804879713301,0.110531132229641,321.5152176,26.0961757692447,24.97358,3.17467260974209,49.9001479960313,1.59369923651218,3.1937765728449,1.58097337322991,-179.735374854241,12.8150576623974,1.14805777917724,155.742958187333,-0.674907841970726,4.07956688148559,14.1481001692362,323.784526441266,318.012375757576,-3.14385552379425,64.4156773459309,4.07563208286262,17.7965726475036,22.5771236363636,-1.85548864343588e-05,78.3725058494996,0,0,1,0,37593,1999.998,1681.19808,0.84059988059988,0.16075776955777,6,0.5,"0: Broadleaf",2,TRUE,1657555785.7,317.8992,318.6456,22.5799,17.79483,320.5417,22.698,499.9865,70.48053,0.0999082,25.07423,24.97358,999.9,0,0,10013.62,0,1144.646,-0.7462436,325.2431,324.4184,4.785072,318.6456,17.79483,1.591443,1.25419,13.87619,10.2608,1999.998,0.9800033,0.0199963,0,2.25176,0,9826.207,16749.45,37.9246,39.812,38.312,38.312,37.125,1960.006,39.992,0,1657555789.1,0,0,"--:--:--",1657463822.6,1657463835.1,0,-2.657,-13.192,-3.924,-0.217,376,3,0.48,0.03,-2.69082015,16.7401987992495,1.62094028245649,0,4.784897,-0.0349805628517946,0.00604876896566571,1,1,2,"1/2",2.98339,2.71558,0.058676,0.0577141,0.0813214,0.0672998,29822.9,30001.4,29443.3,29444,35846.9,36488.8,41479.2,41922.5,1.9794,2.15632,0.0565946,0,24.0497,999.9,42.6,28.7,23.8925,62.3802,27.0873,2,-0.102454,1.86576,20.3776,5.21834,12.0099,4.98895,3.28842,9434.9,9999,9999,140.5,1.86708,1.86615,1.86569,1.86558,1.86737,1.86996,1.86859,1.86999,0,0,0,0,"00000000","iiiiiiii","off","off","off","off",0,100,100,-2.619,-0.1181,-1.80350864432341,-0.00246650502896927,-5.34622600183764e-07,1.96377069994539e-10,-0.258204628366549,-0.0132142598451644,0.00141796143618452,-2.48414735225793e-05,19,2313,1,30,1532.8,1532.6,1.00586,2.22412,1.94702,2.81372,2.19482,2.34131,33.3111,15.2615,18,530.205,612.353,21.1972,26.2069,30.0004,26.1433,26.0748,20.1433,23.2654,20.563,21.2082,279.005,17.8807,100.695,100.719,"pfeiler"
"10",10,1657555793.5,45,2022-07-11 11:09:53,11:09:53,5,"lupbak.r4","stan",1657555791,0.00406957119401191,4.06957119401191,13.4417983103795,301.589534011362,170.862187693298,12.0594568106867,21.2861956707101,0.182754618999562,2.36131829237381,0.175244627764885,0.11017691917299,321.514889,26.0908874580354,24.9859666666667,3.17701827047428,49.9121224162389,1.59338240298204,3.19237557099682,1.58363586749225,-179.468089655925,10.2988443948771,0.922803990742752,153.268447729694,-1.58349030721521,4.05838845946751,13.4417983103795,306.995151288926,302.202884848485,-3.1758418274158,64.4156773459309,4.06957119401191,17.8045670893483,22.5782527272727,-6.07953408903341e-05,78.3725058494996,0,0,1,0,37393,1999.99666666667,1681.1969,0.840599850999752,0.160757712429521,6,0.5,"0: Broadleaf",2,TRUE,1657555791,301.589555555556,301.158111111111,22.5755444444444,17.8152333333333,304.187444444445,22.6937333333333,499.980111111111,70.4800222222222,0.0999988666666667,25.0668666666667,24.9859666666667,999.9,0,0,10011.2444444444,0,1141.01555555556,0.431583022222222,308.555333333333,306.620444444444,4.76031222222222,301.158111111111,17.8152333333333,1.59112555555556,1.25561888888889,13.8731333333333,10.2778777777778,1999.99666666667,0.980003666666666,0.0199959333333333,0,2.28812222222222,0,9803.56222222222,16749.4666666667,37.8956666666667,39.812,38.312,38.312,37.125,1960.00666666667,39.99,0,1657555793.9,0,0,"--:--:--",1657463822.6,1657463835.1,0,-2.657,-13.192,-3.924,-0.217,376,3,0.48,0.03,-1.6057088675,14.6456420363977,1.41097048947319,0,4.7789825,-0.0530899812382854,0.00885077023484395,1,1,2,"1/2",2.98382,2.71577,0.0562609,0.0551732,0.0813291,0.0673825,29899.7,30082,29443.6,29443.8,35847,36485.2,41479.8,41922.2,1.9798,2.15595,0.0571087,0,24.0433,999.9,42.6,28.7,23.8871,62.4502,27.0753,2,-0.102205,1.84788,20.3778,5.21909,12.0099,4.98945,3.28865,9434.9,9999,9999,140.5,1.86707,1.86615,1.86569,1.86558,1.86737,1.86996,1.86859,1.86996,0,0,0,0,"00000000","iiiiiiii","off","off","off","off",0,100,100,-2.576,-0.1181,-1.80350864432341,-0.00246650502896927,-5.34622600183764e-07,1.96377069994539e-10,-0.258204628366549,-0.0132142598451644,0.00141796143618452,-2.48414735225793e-05,19,2313,1,30,1532.8,1532.6,0.959473,2.22168,1.94702,2.81372,2.19482,2.33398,33.3111,15.2615,18,530.482,612.082,21.2131,26.2092,30.0002,26.1446,26.077,19.2287,23.2654,20.563,21.2223,265.632,17.8813,100.696,100.718,"pfeiler"
